project,num_center_nodes,total_nodes
1002-v1.0.0-good,1,99
1014-v1.0.0-good,1,110
1006-v1.0.0-good,1,110
1022-v1.0.0-good,1,113
1038-v1.0.0-good,2,114
1018-v1.0.0-good,1,111
1030-v1.0.0-good,2,114
1010-v1.0.0-good,1,110
1034-v1.0.0-good,1,118
1046-v1.0.0-good,2,114
1050-v1.0.0-good,1,118
1026-v1.0.0-good,1,110
1042-v1.0.0-good,1,113
1054-v1.0.0-good,1,113
1058-v1.0.0-good,1,100
1062-v1.0.0-good,1,100
1070-v1.0.0-good,1,101
1074-v1.0.0-good,1,103
1066-v1.0.0-good,1,100
1078-v1.0.0-good,1,100
1090-v1.0.0-good,2,104
1098-v1.0.0-good,2,104
1086-v1.0.0-good,1,108
1106-v1.0.0-good,1,103
1094-v1.0.0-good,1,103
1082-v1.0.0-good,2,104
1102-v1.0.0-good,1,108
1114-v1.0.0-good,1,114
1110-v1.0.0-good,1,114
1118-v1.0.0-good,1,114
1126-v1.0.0-good,1,117
1134-v1.0.0-good,2,118
1146-v1.0.0-good,1,117
1122-v1.0.0-good,1,115
1130-v1.0.0-good,1,114
1166-v1.0.0-good,1,114
1158-v1.0.0-good,1,117
118-v1.0.0-good,1,69
1142-v1.0.0-good,2,118
1162-v1.0.0-good,1,114
1150-v1.0.0-good,2,118
1138-v1.0.0-good,1,122
1154-v1.0.0-good,1,122
1170-v1.0.0-good,1,114
1174-v1.0.0-good,1,115
1178-v1.0.0-good,1,117
1182-v1.0.0-good,1,114
1186-v1.0.0-good,2,118
1190-v1.0.0-good,1,122
122-v1.0.0-good,1,70
1198-v1.0.0-good,1,117
1194-v1.0.0-good,2,118
1202-v1.0.0-good,2,118
1206-v1.0.0-good,1,122
1222-v1.0.0-good,1,118
1218-v1.0.0-good,1,118
1210-v1.0.0-good,1,117
1214-v1.0.0-good,1,118
1226-v1.0.0-good,1,119
1230-v1.0.0-good,1,121
1234-v1.0.0-good,1,118
126-v1.0.0-good,1,69
1246-v1.0.0-good,2,122
1238-v1.0.0-good,2,122
1250-v1.0.0-good,1,121
1242-v1.0.0-good,1,126
1254-v1.0.0-good,2,122
1266-v1.0.0-good,1,111
1258-v1.0.0-good,1,126
1270-v1.0.0-good,1,115
1262-v1.0.0-good,1,121
1274-v1.0.0-good,1,137
1278-v1.0.0-good,1,142
130-v1.0.0-good,1,67
1315-v1.0.0-good,2,171
1321-v1.0.0-good,3,184
1288-v1.0.0-good,5,447
134-v1.0.0-good,1,69
1332-v1.0.0-good,2,151
138-v1.0.0-good,1,71
142-v1.0.0-good,1,69
1459-v1.0.0-good,1,56
1308-v1.0.0-good,5,489
146-v1.0.0-good,1,67
1471-v1.0.0-good,1,53
1472-v1.0.0-good,1,61
1483-v1.0.0-good,1,37
1473-v1.0.0-good,1,57
1310-v1.0.0-good,4,570
149046-v2.0.0-good,2,93
149050-v1.0.0-good,2,117
149048-v2.0.0-good,3,172
149052-v1.0.0-good,2,175
149054-v2.0.0-good,3,226
149058-v2.0.0-good,2,186
1296-v1.0.0-good,4,912
149060-v2.0.0-good,2,189
149064-v2.0.0-good,2,117
149066-v2.0.0-good,2,110
149056-v2.0.0-good,3,310
1290-v1.0.0-good,8,893
149068-v2.0.0-good,2,110
149062-v2.0.0-good,3,215
