project,num_center_nodes,total_nodes
1448-v1.0.0-good,1,49
1485-v1.0.0-bad,1,67
1486-v1.0.0-bad,1,93
1498-v1.0.0-good,1,64
1488-v1.0.0-bad,1,80
148820-v1.0.0-bad,0,0
1491-v1.0.0-bad,1,111
1493-v1.0.0-bad,2,146
1492-v1.0.0-bad,1,121
1458-v1.0.0-good,1,49
1487-v1.0.0-good,1,133
1501-v1.0.0-bad,3,149
1494-v1.0.0-bad,2,100
1495-v1.0.0-good,2,109
1503-v1.0.0-good,5,151
1517-v1.0.0-bad,1,162
1510-v1.0.0-bad,2,206
1513-v1.0.0-bad,2,131
1489-v1.0.0-good,1,90
1516-v1.0.0-bad,1,233
1515-v1.0.0-bad,1,150
1520-v1.0.0-bad,2,148
1524-v1.0.0-bad,2,151
1522-v1.0.0-bad,2,127
1529-v1.0.0-bad,2,116
1531-v1.0.0-bad,2,103
1526-v1.0.0-bad,3,150
1525-v1.0.0-bad,2,117
1530-v1.0.0-bad,3,131
1523-v1.0.0-bad,2,141
1521-v1.0.0-bad,2,153
1532-v1.0.0-bad,2,118
1536-v1.0.0-bad,2,119
1535-v1.0.0-bad,2,142
1527-v1.0.0-bad,3,171
1542-v1.0.0-bad,2,87
1533-v1.0.0-bad,3,183
1534-v1.0.0-bad,3,220
1490-v1.0.0-bad,1,151
1538-v1.0.0-bad,3,189
1952-v1.0.0-bad,1,75
1953-v1.0.0-good,1,75
1543-v1.0.0-bad,4,187
1957-v1.0.0-bad,2,67
1541-v1.0.0-bad,2,153
1519-v1.0.0-bad,3,161
1528-v1.0.0-bad,2,142
16-v1.0.0-bad,1,110
1954-v1.0.0-bad,2,163
1956-v1.0.0-good,2,128
1537-v1.0.0-bad,5,265
1959-v1.0.0-good,1,111
1540-v1.0.0-bad,3,190
1958-v1.0.0-bad,1,142
1539-v1.0.0-bad,2,211
1960-v1.0.0-good,2,140
1971-v1.0.0-bad,2,108
1963-v1.0.0-good,2,74
1955-v1.0.0-bad,2,112
1969-v1.0.0-bad,3,128
1970-v1.0.0-good,2,138
1961-v1.0.0-bad,2,228
1972-v1.0.0-good,2,129
