project,num_center_nodes,total_nodes
250492-v1.0.0-mixed,14,482
156217-v1.0.0-bad,28,2041
155523-v1.0.0-bad,22,1430
155686-v1.0.0-bad,21,1422
251187-v1.0.0-mixed,10,469
156334-v1.0.0-bad,25,1692
250734-v1.0.0-mixed,19,786
252057-v1.0.0-mixed,8,455
156365-v1.0.0-bad,42,2628
251187-v1.0.0-mixed,10,469
252057-v1.0.0-mixed,8,455
250492-v1.0.0-mixed,14,482
1584-v1.0.0-good,3,216
250734-v1.0.0-mixed,19,786
251557-v1.0.0-mixed,8,298
250632-v1.0.0-mixed,10,338
155686-v1.0.0-bad,21,1422
155523-v1.0.0-bad,22,1430
156334-v1.0.0-bad,25,1692
155228-v1.0.0-bad,19,1362
156217-v1.0.0-bad,28,2041
251755-v1.0.0-mixed,20,776
251572-v1.0.0-mixed,5,226
156442-v1.0.0-bad,10,1204
250503-v1.0.0-mixed,8,366
156365-v1.0.0-bad,42,2628
156979-v1.0.0-bad,22,1229
156557-v1.0.0-bad,31,2068
250396-v1.0.0-mixed,7,433
156021-v1.0.0-bad,42,3374
250722-v1.0.0-mixed,29,739
251529-v1.0.0-mixed,9,278
156244-v1.0.0-bad,76,4173
251173-v1.0.0-mixed,10,587
156048-v1.0.0-bad,51,3178
251558-v1.0.0-mixed,5,188
250899-v1.0.0-mixed,12,285
251826-v1.0.0-mixed,5,255
251952-v1.0.0-mixed,16,758
251546-v1.0.0-mixed,5,350
155646-v1.0.0-bad,12,1021
156105-v1.0.0-bad,65,3818
156512-v1.0.0-bad,16,1297
250572-v1.0.0-mixed,5,160
252070-v1.0.0-mixed,14,459
250707-v1.0.0-mixed,17,555
251468-v1.0.0-mixed,10,472
155963-v1.0.0-bad,41,1953
156078-v1.0.0-bad,67,4001
250776-v1.0.0-mixed,26,684
156965-v1.0.0-bad,39,2461
252063-v1.0.0-mixed,7,441
156581-v1.0.0-bad,44,2027
156136-v1.0.0-bad,63,3130
251272-v1.0.0-mixed,17,693
252023-v1.0.0-mixed,7,357
251340-v1.0.0-mixed,5,244
156654-v1.0.0-bad,35,3744
251887-v1.0.0-mixed,5,260
156378-v1.0.0-bad,42,1874
155763-v1.0.0-bad,33,2077
251001-v1.0.0-mixed,18,638
250803-v1.0.0-mixed,22,828
251006-v1.0.0-mixed,17,568
156036-v1.0.0-bad,26,1894
155471-v1.0.0-bad,40,1670
250475-v1.0.0-mixed,16,785
156332-v1.0.0-bad,17,1367
156383-v1.0.0-bad,57,2635
155359-v1.0.0-bad,31,2274
156736-v1.0.0-bad,33,2005
155190-v1.0.0-bad,56,4681
155935-v1.0.0-bad,29,1911
251442-v1.0.0-mixed,23,611
251260-v1.0.0-mixed,20,693
251672-v1.0.0-mixed,15,520
155888-v1.0.0-bad,190,12598
155128-v1.0.0-bad,55,2608
156421-v1.0.0-bad,16,1443
250509-v1.0.0-mixed,7,352
156901-v1.0.0-bad,46,2789
156209-v1.0.0-bad,71,6790
155913-v1.0.0-bad,8,760
251820-v1.0.0-mixed,5,177
250569-v1.0.0-mixed,5,250
251023-v1.0.0-mixed,11,582
250913-v1.0.0-mixed,10,491
250532-v1.0.0-mixed,5,250
501355-v1.0.1-good,44,4348
156521-v1.0.0-bad,65,3824
156583-v1.0.0-bad,178,12233
155695-v1.0.0-bad,140,2409
156106-v1.0.0-bad,31,2247
252035-v1.0.0-mixed,5,231
250583-v1.0.0-mixed,7,441
251579-v1.0.0-mixed,7,388
250520-v1.0.0-mixed,8,249
155589-v1.0.0-bad,60,3177
155365-v1.0.0-bad,103,4661
252078-v1.0.0-mixed,7,254
155214-v1.0.0-bad,42,1894
156324-v1.0.0-bad,40,3017
155372-v1.0.0-bad,20,1595
156634-v1.0.0-bad,140,19966
250616-v1.0.0-mixed,8,477
156158-v1.0.0-bad,29,2562
156801-v1.0.0-bad,84,3898
156329-v1.0.0-bad,24,1769
250975-v1.0.0-mixed,15,646
155978-v1.0.0-bad,48,2393
156877-v1.0.0-bad,28,2194
251096-v1.0.0-mixed,11,542
156235-v1.0.0-bad,17,3055
156666-v1.0.0-bad,176,21304
155945-v1.0.0-bad,68,3576
155878-v1.0.0-bad,48,2819
156700-v1.0.0-bad,30,1933
155586-v1.0.0-bad,34,2103
155666-v1.0.0-bad,55,2446
250456-v1.0.0-mixed,11,496
